full_name,member_title,last_name,state,party_name,chamber,year_start,year_end,member_id
Conrad R. Burns,Senator,Burns,Montana,Republican,Senate,1989,2007,326
Constance A. Morella,Representative,Morella,Maryland,Republican,House,1987,2003,327
Corinne C. (Lindy) Boggs,Representative,Boggs,Louisiana,Democratic,House,1973,1991,328
Corrine Brown,Representative,Brown,Florida,Democratic,House,1993,2017,329
Cory A. Booker,Senator,Booker,New Jersey,Democratic,Senate,2013,2020,330
Cory Gardner,Senator,Gardner,Colorado,Republican,House,2011,2015,331
Cory Gardner,Senator,Gardner,Colorado,Republican,Senate,2015,2020,332
Craig A. Washington,Representative,Washington,Texas,Democratic,House,1989,1995,333
Craig T. James,Representative,James,Florida,Republican,House,1989,1993,334
Craig Thomas,Senator,Thomas,Wyoming,Republican,House,1989,1995,335
Craig Thomas,Senator,Thomas,Wyoming,Republican,Senate,1995,2007,336
Cresent Hardy,Representative,Hardy,Nevada,Republican,House,2015,2017,337
Curt Clawson,Representative,Clawson,Florida,Republican,House,2014,2017,338
Curt Weldon,Representative,Weldon,Pennsylvania,Republican,House,1987,2007,339
Cynthia A. McKinney,Representative,McKinney,Georgia,Democratic,House,1993,2007,340
Cynthia Axne,Representative,Axne,Iowa,Democratic,House,2019,2020,341
Cynthia M. Lummis,Representative,Lummis,Wyoming,Republican,House,2009,2017,342
"D. French, Jr. Slaughter",Representative,Slaughter,Virginia,Republican,House,1985,1993,343
Dale Bumpers,Senator,Bumpers,Arkansas,Democratic,Senate,1975,1999,344
Dale E. Kildee,Representative,Kildee,Michigan,Democratic,House,1977,2013,345
Dan Benishek,Representative,Benishek,Michigan,Republican,House,2011,2017,346
Dan Bishop,Representative,Bishop,North Carolina,Republican,House,2019,2020,347
Dan Boren,Representative,Boren,Oklahoma,Democratic,House,2005,2013,348
Dan Burton,Representative,Burton,Indiana,Republican,House,1983,2013,349
Dan Crenshaw,Representative,Crenshaw,Texas,Republican,House,2019,2020,350
Dan Frisa,Representative,Frisa,New York,Republican,House,1995,1997,351
Dan Glickman,Representative,Glickman,Kansas,Democratic,House,1977,1995,352
Dan Hamburg,Representative,Hamburg,California,Democratic,House,1993,1995,353
Dan Miller,Representative,Miller,Florida,Republican,House,1993,2003,354
Dan Newhouse,Representative,Newhouse,Washington,Republican,House,2015,2020,355
Dan Quayle,Senator,Quayle,Indiana,Republican,House,1977,1981,356
